,ORIGIN,DESTINATION,ROUNDTRIP,AVG_FARE,CANCELLED,DELTA,ROUTE,AIRPORT_FEE,OVERHEAD_COST,OPERATION_COST,AVG_OCCUPANCY_RATE,REVENUE,PROFIT,ROI
23968,JFK,SFO,795.0,898.6351791530944,23.0,772.0,JFK-to-SFO,20000.0,23739.48,23739.48,0.6551845819761128,54014.902840489885,41699504.992858194,1667.0
23893,JFK,LAX,873.0,848.357629427793,30.0,843.0,JFK-to-LAX,20000.0,22720.5,22720.5,0.646859872611465,47033.20162012533,39648988.965765655,1914.0
15508,EWR,SFO,647.0,960.8722382324688,12.0,635.0,EWR-to-SFO,20000.0,23546.7,24296.7,0.6504658901830283,60706.22315880832,38548451.705843285,1483.0
25241,LAX,JFK,717.0,807.3050075872534,28.0,689.0,LAX-to-JFK,20000.0,22720.5,22720.5,0.6532003798670466,42745.88752491257,29451916.50466476,2106.0
41876,SFO,EWR,471.0,893.489844683393,12.0,459.0,SFO-to-EWR,20000.0,23546.7,24071.7,0.6498924731182796,52062.76497347155,23896809.122823443,1729.0
15421,EWR,LAX,555.0,734.3021420518602,4.0,551.0,EWR-to-LAX,20000.0,22527.72,22527.72,0.6517585551330798,33189.82062696919,18287591.165460024,2712.0
21652,IAD,SFO,408.0,826.5828313253012,11.0,397.0,IAD-to-SFO,20000.0,22206.42,22431.42,0.6321680216802168,42076.426646749605,16704341.378759593,2139.0
23891,JFK,LAS,576.0,689.9385342789598,5.0,571.0,JFK-to-LAS,20000.0,20636.64,20636.64,0.6468013856812933,28614.00000131034,16338594.000748206,3146.0
41622,SEA,OGG,370.0,721.3427331887202,0.0,370.0,SEA-to-OGG,15000.0,24235.2,24235.2,0.6425210084033613,38460.37206657068,14230337.66463115,2341.0
23975,JFK,SLC,323.0,765.2841121495327,1.0,322.0,JFK-to-SLC,20000.0,18268.2,18268.2,0.6506699346405228,41321.27264675338,13305449.792254588,2179.0
